 Count  Overhead File                                                    Line Function
    55         0 @TractableTreeDistributions/src/clades/clade.jl           44 hash
   218         0 @TractableTreeDistributions/src/clades/cladify_tree.jl    60 cladify_node(node::PhyloNetworks.Node, clade_visitor::TractableTreeDistributions.var"#clade_visitor#29"{DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, split_visitor::TractableTreeDistributions.var"#split_visitor#30"{DataStructures.DefaultDict{Any, Any, UnionAll}, DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, tip_indices::Dict{String, Int64}, num_taxa::Int64, heights::Dict{AbstractClade, Floa…
    67         0 @PhyloNetworks/src/auxiliary.jl                          226 getchildren(node::PhyloNetworks.Node)
    62         0 @Base/array.jl                                          1261 push!
    39         0 @Base/array.jl                                          1129 (::Base.var"#133#134"{Vector{PhyloNetworks.Node}, Int64, Int64, Int64, Int64, Int64, Memory{PhyloNetworks.Node}, MemoryRef{PhyloNetworks.Node}})()
   101         0 @Base/array.jl                                          1058 array_new_memory
   153         0 @TractableTreeDistributions/src/clades/cladify_tree.jl    39 cladify_tree
   153         0 @TractableTreeDistributions/src/utils/trees.jl            22 get_leaf_index_mapping
   126         0 @TractableTreeDistributions/src/utils/trees.jl            18 get_tip_names(tree::PhyloNetworks.HybridNetwork)
   162         0 @TractableTreeDistributions/src/clades/clade.jl           56 union(clade1::Clade, clade2::Leaf)
    47         0 @Base/abstractarray.jl                                  3551 hash(A::BitVector, h::UInt64)
    38         0 @Base/bitarray.jl                                        363 iterate
    36         0 @Base/bitarray.jl                                        119 _div64
    36         0 @Base/int.jl                                             534 >>
   369         0 @Base/dict.jl                                            356 setindex!(h::Dict{Any, Nothing}, v0::Nothing, key::Leaf)
    46         0 @DataStructures/src/default_dict.jl                       71 getindex
   164         0 @Base/abstractarray.jl                                  3550 hash(A::BitVector, h::UInt64)
   164         0 @Base/hashing.jl                                          88 hash
   165         0 @Base/hashing.jl                                          86 hash
   147         0 @Base/hashing.jl                                          77 hash_uint64
   131         0 @Base/hashing.jl                                          48 hash_64_64
   132         0 @Base/operators.jl                                       596 +
   448         0 @TractableTreeDistributions/src/clades/cladify_tree.jl    54 cladify_node(node::PhyloNetworks.Node, clade_visitor::TractableTreeDistributions.var"#clade_visitor#29"{DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, split_visitor::TractableTreeDistributions.var"#split_visitor#30"{DataStructures.DefaultDict{Any, Any, UnionAll}, DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, tip_indices::Dict{String, Int64}, num_taxa::Int64, heights::Dict{AbstractClade, Floa…
   119         0 @TractableTreeDistributions/src/clades/clade.jl           18 Leaf
   115         0 @TractableTreeDistributions/src/clades/cladify_tree.jl    55 cladify_node(node::PhyloNetworks.Node, clade_visitor::TractableTreeDistributions.var"#clade_visitor#29"{DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, split_visitor::TractableTreeDistributions.var"#split_visitor#30"{DataStructures.DefaultDict{Any, Any, UnionAll}, DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, tip_indices::Dict{String, Int64}, num_taxa::Int64, heights::Dict{AbstractClade, Floa…
    40         0 @Base/dict.jl                                            133 isslotempty
   141         0 @TractableTreeDistributions/src/distributions/ccd1.jl     25 (::TractableTreeDistributions.var"#clade_visitor#29"{DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}})(clade::Clade, height::Float64)
   247         0 @Base/set.jl                                             137 push!
     4         0 @Base/dict.jl                                            290 ht_keyindex2_shorthash!(h::Dict{Any, Nothing}, key::Clade)
   216         0 @Base/broadcast.jl                                       872 materialize
     5         0 @Base/broadcast.jl                                       307 instantiate
     5         0 @Base/broadcast.jl                                       497 combine_axes
     6         0 @Base/abstractarray.jl                                    98 axes
   211         0 @Base/broadcast.jl                                       897 copy
   202         0 @Base/broadcast.jl                                       223 similar
   202         0 @Base/broadcast.jl                                       226 similar
   206         0 @Base/abstractarray.jl                                   867 similar
   206         0 @Base/abstractarray.jl                                   868 similar
   202         0 @Base/bitarray.jl                                         71 BitArray
   471         0 @Base/bitarray.jl                                         37 BitArray
    97         0 @Base/boot.jl                                            578 Array
   106         0 @TractableTreeDistributions/src/distributions/ccd1.jl     34 (::TractableTreeDistributions.var"#split_visitor#30"{DataStructures.DefaultDict{Any, Any, UnionAll}, DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}})(split::Split)
   305         0 @TractableTreeDistributions/src/clades/clade.jl           23 Leaf(leaf::Int64, num_taxa::Int64, name::String)
    13         0 @Base/bitarray.jl                                       1215 ==
     6         0 @Base/array.jl                                          2075 ==
    57         0 @TractableTreeDistributions/src/clades/cladify_tree.jl    71 cladify_node(node::PhyloNetworks.Node, clade_visitor::TractableTreeDistributions.var"#clade_visitor#29"{DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, split_visitor::TractableTreeDistributions.var"#split_visitor#30"{DataStructures.DefaultDict{Any, Any, UnionAll}, DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, tip_indices::Dict{String, Int64}, num_taxa::Int64, heights::Dict{AbstractClade, Floa…
    16         0 @Base/array.jl                                          2403 findfirst
    16         0 @Base/bitarray.jl                                       1528 findnext
    16         0 @Base/bitarray.jl                                       1532 _findnext_int
     8         0 @Base/bitarray.jl                                       1479 findnext
     8         0 @Base/bitarray.jl                                        103 length
   119         0 @PhyloNetworks/src/auxiliary.jl                          223 getchildren(node::PhyloNetworks.Node)
   120         0 @Base/array.jl                                           400 getindex
     8         0 @Base/dict.jl                                            455 get!(default::Base.var"#264#265"{Int64}, h::Dict{Any, Any}, key::Leaf)
    25         0 @Base/dict.jl                                            117 Dict
    25         0 @Base/abstractdict.jl                                    643 dict_with_eltype
    25         0 @Base/abstractdict.jl                                    636 dict_with_eltype
    21         0 @Base/dict.jl                                             94 Dict{String, Int64}(kv::Base.Generator{Base.Iterators.Enumerate{Vector{String}}, TractableTreeDistributions.var"#3#4"})
     5         0 @Base/array.jl                                          2067 ==
     3         0 @TractableTreeDistributions/src/clades/clade_split.jl     22 ==
    11         0 @Base/dict.jl                                            267 ht_keyindex2_shorthash!(h::Dict{Any, Any}, key::Split)
     4         0 @Base/array.jl                                          1132 (::Base.var"#133#134"{Vector{PhyloNetworks.Node}, Int64, Int64, Int64, Int64, Int64, Memory{PhyloNetworks.Node}, MemoryRef{PhyloNetworks.Node}})()
    11         0 @Base/dict.jl                                            323 _setindex!
     3         0 @Base/dict.jl                                            135 isslotmissing
    32         0 @TractableTreeDistributions/src/clades/cladify_tree.jl    66 cladify_node(node::PhyloNetworks.Node, clade_visitor::TractableTreeDistributions.var"#clade_visitor#29"{DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, split_visitor::TractableTreeDistributions.var"#split_visitor#30"{DataStructures.DefaultDict{Any, Any, UnionAll}, DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, tip_indices::Dict{String, Int64}, num_taxa::Int64, heights::Dict{AbstractClade, Floa…
    34         0 @Base/dict.jl                                            476 getindex(h::Dict{String, Int64}, key::String)
    10         0 @Base/dict.jl                                            254 ht_keyindex(h::Dict{String, Int64}, key::String)
    11         0 @Base/int.jl                                            1013 *
     2         0 @TractableTreeDistributions/src/clades/clade.jl           24 Leaf(leaf::Int64, num_taxa::Int64, name::String)
     2         0 @Base/bitarray.jl                                        702 setindex!
     2         0 @Base/bitarray.jl                                        689 unsafe_bitsetindex!
     2         0 @Base/bitarray.jl                                        695 _unsafe_bitsetindex!
    53         0 @Base/dict.jl                                            360 setindex!(h::Dict{Any, Nothing}, v0::Nothing, key::Leaf)
     2         0 @Base/dict.jl                                            159 rehash!(h::Dict{AbstractClade, Float64}, newsz::Int64)
   155         0 @Base/dict.jl                                            375 setindex!(h::Dict{Any, Any}, v::Any, key::Split)
     3         0 @Base/hashing.jl                                          47 hash_64_64
     5         0 @PhyloNetworks/src/auxiliary.jl                          224 getchildren(node::PhyloNetworks.Node)
    45         0 @Base/operators.jl                                       926 |>
    45         0 @Base/sort.jl                                           1720 sort
    45         0 @Base/sort.jl                                           1720 #sort#33
    26         0 @Base/sort.jl                                           1687 sort!
    26         0 @Base/sort.jl                                           1694 #sort!#32
    26         0 @Base/sort.jl                                            554 _sort!
    26         0 @Base/sort.jl                                            676 _sort!
    26         0 @Base/sort.jl                                            737 _sort!
    22         0 @Base/sort.jl                                            792 _sort!
    22         0 @Base/sort.jl                                            721 _sort!
    22         0 @Base/sort.jl                                            770 _sort!
    22         0 @Base/sort.jl                                           1360 _sort!(v::Vector{String}, a::Base.Sort.StableCheckSorted{Base.Sort.ScratchQuickSort{Missing, Missing, Base.Sort.InsertionSortAlg}}, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Nothing, lo::Int64, hi::Int64})
    22         0 @Base/sort.jl                                           1103 _sort!
    11         0 @Base/sort.jl                                           1145 _sort!(v::Vector{String}, a::Base.Sort.ScratchQuickSort{Missing, Missing, Base.Sort.InsertionSortAlg}, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Nothing, lo::Int64, hi::Int64}; t::Nothing, offset::Nothing, swap::Bool, rev::Bool)
     1         0 @Base/sort.jl                                            823 _sort!(v::Vector{String}, ::Base.Sort.InsertionSortAlg, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Vector{String}, lo::Int64, hi::Int64})
    19         0 @Base/operators.jl                                       379 >
     6         0 @Base/sort.jl                                           1115 _sort!(v::Vector{String}, a::Base.Sort.ScratchQuickSort{Missing, Missing, Base.Sort.InsertionSortAlg}, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Nothing, lo::Int64, hi::Int64}; t::Nothing, offset::Nothing, swap::Bool, rev::Bool)
     2         0 @Base/sort.jl                                           1079 partition!(t::Vector{String}, lo::Int64, hi::Int64, offset::Int64, o::Base.Order.ForwardOrdering, v::Vector{String}, rev::Bool, pivot_dest::Vector{String}, pivot_index_offset::Int64)
     9         0 @Base/ordering.jl                                        118 lt
     9         0 @Base/strings/basic.jl                                   359 isless
     9         0 @Base/broadcast.jl                                       925 copyto!
     9         0 @Base/broadcast.jl                                       982 copyto!
     1         0 @Base/broadcast.jl                                      1054 chunkedcopyto!
     1         0 @Base/broadcast.jl                                      1045 liftchunks
     9         0 @Base/dict.jl                                            335 _setindex!
     2         0 @Base/dict.jl                                            177 rehash!(h::Dict{AbstractClade, Float64}, newsz::Int64)
     1         0 @Base/sort.jl                                            824 _sort!(v::Vector{String}, ::Base.Sort.InsertionSortAlg, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Vector{String}, lo::Int64, hi::Int64})
    18         0 @Base/dict.jl                                            274 ht_keyindex2_shorthash!(h::Dict{String, Int64}, key::String)
     2         0 @Base/dict.jl                                            324 _setindex!
    11         0 @Base/hashing.jl                                          49 hash_64_64
     2         0 @Base/dict.jl                                            241 ht_keyindex(h::Dict{String, Int64}, key::String)
     4         0 @Base/dict.jl                                            373 setindex!(h::Dict{Any, Any}, v::Any, key::Leaf)
     8         0 @Base/dict.jl                                            296 ht_keyindex2_shorthash!(h::Dict{Any, Nothing}, key::Clade)
     2         0 @Base/dict.jl                                            180 rehash!(h::Dict{AbstractClade, Float64}, newsz::Int64)
     5         0 @Base/dict.jl                                            237 ht_keyindex(h::Dict{String, Int64}, key::String)
     5         0 @Base/dict.jl                                            705 isempty
     4         0 @Base/sort.jl                                           1138 _sort!(v::Vector{String}, a::Base.Sort.ScratchQuickSort{Missing, Missing, Base.Sort.InsertionSortAlg}, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Nothing, lo::Int64, hi::Int64}; t::Nothing, offset::Nothing, swap::Bool, rev::Bool)
     2         0 @Base/sort.jl                                           1080 partition!(t::Vector{String}, lo::Int64, hi::Int64, offset::Int64, o::Base.Order.ForwardOrdering, v::Vector{String}, rev::Bool, pivot_dest::Vector{String}, pivot_index_offset::Int64)
     1         0 @Base/sort.jl                                            822 _sort!(v::Vector{String}, ::Base.Sort.InsertionSortAlg, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Vector{String}, lo::Int64, hi::Int64})
     3         0 @Base/sort.jl                                           1117 _sort!(v::Vector{String}, a::Base.Sort.ScratchQuickSort{Missing, Missing, Base.Sort.InsertionSortAlg}, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Nothing, lo::Int64, hi::Int64}; t::Nothing, offset::Nothing, swap::Bool, rev::Bool)
    27         0 @PhyloNetworks/src/auxiliary.jl                          181 isparentof
    27         0 @PhyloNetworks/src/auxiliary.jl                          266 getparent
     5         0 @Base/array.jl                                           679 _array_for
     4         0 @Base/array.jl                                           676 _array_for
     4         0 @Base/boot.jl                                            591 Array
     8         0 @Base/dict.jl                                            325 _setindex!
     5         0 @Base/genericmemory.jl                                   244 setindex!
     3         0 @Base/dict.jl                                            329 _setindex!
     3         0 @Base/bitarray.jl                                         36 BitArray
     3         0 @Base/bitarray.jl                                        124 num_bit_chunks
     5         0 @Base/dict.jl                                            129 hashindex
     6         0 @Base/dict.jl                                             92 Dict{String, Int64}(kv::Base.Generator{Base.Iterators.Enumerate{Vector{String}}, TractableTreeDistributions.var"#3#4"})
     6         0 @Base/dict.jl                                            193 sizehint!
     6         0 @Base/dict.jl                                            199 #sizehint!#423
     4         0 @Base/dict.jl                                            150 rehash!(h::Dict{String, Int64}, newsz::Int64)
     1         0 @Base/sort.jl                                           1144 _sort!(v::Vector{String}, a::Base.Sort.ScratchQuickSort{Missing, Missing, Base.Sort.InsertionSortAlg}, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Nothing, lo::Int64, hi::Int64}; t::Nothing, offset::Nothing, swap::Bool, rev::Bool)
     1         0 @Base/array.jl                                          2200 reverse!(v::Vector{String}, start::Int64, stop::Int64)
     5         0 @Base/broadcast.jl                                      1056 chunkedcopyto!
     1         0 @Base/simdloop.jl                                         75 macro expansion
     3         0 @Base/dict.jl                                            246 ht_keyindex(h::Dict{String, Int64}, key::String)
     8         0 @Base/dict.jl                                            242 ht_keyindex(h::Dict{AbstractClade, Float64}, key::Clade)
     3         0 @Base/dict.jl                                            130 hashindex
     3         0 @Base/dict.jl                                            122 _shorthash7
     8         0 @Base/bitarray.jl                                       1480 findnext
     6         0 @Base/bitarray.jl                                       1463 unsafe_bitfindnext
     5         0 @Base/abstractarray.jl                                  3549 hash(A::BitVector, h::UInt64)
     4         0 @Base/dict.jl                                            266 ht_keyindex2_shorthash!(h::Dict{Any, Nothing}, key::Split)
     3         0 @Base/sort.jl                                            828 _sort!(v::Vector{String}, ::Base.Sort.InsertionSortAlg, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Vector{String}, lo::Int64, hi::Int64})
     5         0 @Base/dict.jl                                            268 ht_keyindex2_shorthash!(h::Dict{AbstractClade, Float64}, key::Leaf)
     1         0 @Base/array.jl                                          2068 ==
     7         0 @Base/dict.jl                                            248 ht_keyindex(h::Dict{String, Int64}, key::String)
     2         0 @PhyloNetworks/src/auxiliary.jl                          299 getparentedge
     2         0 @Base/dict.jl                                            165 rehash!(h::Dict{AbstractClade, Float64}, newsz::Int64)
     2         0 @Base/dict.jl                                            170 rehash!(h::Dict{AbstractClade, Float64}, newsz::Int64)
     3         0 @Base/dict.jl                                            273 ht_keyindex2_shorthash!(h::Dict{Any, Nothing}, key::Split)
     6         0 @Base/sort.jl                                            825 _sort!(v::Vector{String}, ::Base.Sort.InsertionSortAlg, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Vector{String}, lo::Int64, hi::Int64})
     1         0 @PhyloNetworks/src/auxiliary.jl                          228 getchildren(node::PhyloNetworks.Node)
     1         0 @Base/sort.jl                                           1085 partition!(t::Vector{String}, lo::Int64, hi::Int64, offset::Int64, o::Base.Order.ForwardOrdering, v::Vector{String}, rev::Bool, pivot_dest::Vector{String}, pivot_index_offset::Int64)
     2         0 @Base/dict.jl                                            156 rehash!(h::Dict{AbstractClade, Float64}, newsz::Int64)
     5         0 @Base/array.jl                                          1262 push!
     1         0 @PhyloNetworks/src/auxiliary.jl                          183 ischildof
     1         0 @PhyloNetworks/src/auxiliary.jl                          218 getchild
     5         0 @Base/dict.jl                                            149 rehash!(h::Dict{String, Int64}, newsz::Int64)
     2         0 @Base/abstractarray.jl                                  3545 hash(A::BitVector, h::UInt64)
     2         0 @Base/array.jl                                          1128 (::Base.var"#133#134"{Vector{PhyloNetworks.Node}, Int64, Int64, Int64, Int64, Int64, Memory{PhyloNetworks.Node}, MemoryRef{PhyloNetworks.Node}})()
     1         0 @Base/array.jl                                          1047 overallocation
     2         0 @Base/sort.jl                                           1134 _sort!(v::Vector{String}, a::Base.Sort.ScratchQuickSort{Missing, Missing, Base.Sort.InsertionSortAlg}, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Nothing, lo::Int64, hi::Int64}; t::Nothing, offset::Nothing, swap::Bool, rev::Bool)
     1         0 @Base/sort.jl                                           1143 _sort!(v::Vector{String}, a::Base.Sort.ScratchQuickSort{Missing, Missing, Base.Sort.InsertionSortAlg}, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Vector{String}, lo::Int64, hi::Int64}; t::Vector{String}, offset::Int64, swap::Bool, rev::Bool)
     2         0 @Base/array.jl                                           299 copyto!
     2         0 @Base/array.jl                                           308 _copyto_impl!
     1         0 @Base/sort.jl                                           1103 kwcall(::@NamedTuple{t::Vector{String}, offset::Int64, swap::Bool, rev::Bool}, ::typeof(Base.Sort._sort!), v::Vector{String}, a::Base.Sort.ScratchQuickSort{Missing, Missing, Base.Sort.InsertionSortAlg}, o::Base.Order.ForwardOrdering, kw::@NamedTuple{scratch::Vector{String}, lo::Int64, hi::Int64})
     1         0 @Base/dict.jl                                            176 rehash!(h::Dict{AbstractClade, Float64}, newsz::Int64)
     6         0 @Base/dict.jl                                            376 setindex!(h::Dict{Any, Any}, v::Any, key::Leaf)
     4         0 @TractableTreeDistributions/src/clades/cladify_tree.jl    52 cladify_node(node::PhyloNetworks.Node, clade_visitor::TractableTreeDistributions.var"#clade_visitor#29"{DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, split_visitor::TractableTreeDistributions.var"#split_visitor#30"{DataStructures.DefaultDict{Any, Any, UnionAll}, DataStructures.DefaultDict{Any, Any, Int64}, Set{Any}}, tip_indices::Dict{String, Int64}, num_taxa::Int64, heights::Dict{AbstractClade, Floa…
     4         0 @PhyloNetworks/src/auxiliary.jl                          166 isleaf
     1         0 @Base/hashing.jl                                          46 hash_64_64
     1         0 @Base/dict.jl                                            314 ht_keyindex2_shorthash!(h::Dict{AbstractClade, Float64}, key::Leaf)
     1         0 @Base/sort.jl                                           1087 partition!(t::Vector{String}, lo::Int64, hi::Int64, offset::Int64, o::Base.Order.ForwardOrdering, v::Vector{String}, rev::Bool, pivot_dest::Vector{String}, pivot_index_offset::Int64)
     1         0 @Base/broadcast.jl                                       516 broadcast_shape
     1         0 @Base/broadcast.jl                                       522 _bcs
     1         0 @Base/sort.jl                                           1086 partition!(t::Vector{String}, lo::Int64, hi::Int64, offset::Int64, o::Base.Order.ForwardOrdering, v::Vector{String}, rev::Bool, pivot_dest::Vector{String}, pivot_index_offset::Int64)
     2         0 @Base/dict.jl                                            326 _setindex!
     3         0 @Base/dict.jl                                            158 rehash!(h::Dict{AbstractClade, Float64}, newsz::Int64)
     2         0 @Base/dict.jl                                            167 rehash!(h::Dict{AbstractClade, Float64}, newsz::Int64)
     1         0 @Base/array.jl                                           664 _similar_shape
     1         0 @Base/hashing.jl                                          44 hash_64_64
   139         0 @Base/compiler/typeinfer.jl                             1135 typeinf_ext_toplevel(mi::Core.MethodInstance, world::UInt64)
   139         0 @Base/compiler/typeinfer.jl                             1139 typeinf_ext_toplevel(interp::Core.Compiler.NativeInterpreter, mi::Core.MethodInstance)
   139         0 @Base/compiler/typeinfer.jl                             1101 typeinf_ext(interp::Core.Compiler.NativeInterpreter, mi::Core.MethodInstance)
   139         0 @Base/compiler/typeinfer.jl                              215 typeinf(interp::Core.Compiler.NativeInterpreter, frame::Core.Compiler.InferenceState)
   137         0 @Base/compiler/typeinfer.jl                              244 _typeinf(interp::Core.Compiler.NativeInterpreter, frame::Core.Compiler.InferenceState)
   137         0 @Base/compiler/abstractinterpretation.jl                3401 typeinf_nocycle(interp::Core.Compiler.NativeInterpreter, frame::Core.Compiler.InferenceState)
   137         0 @Base/compiler/abstractinterpretation.jl                3319 typeinf_local(interp::Core.Compiler.NativeInterpreter, frame::Core.Compiler.InferenceState)
   135         0 @Base/compiler/abstractinterpretation.jl                3065 abstract_eval_basic_statement(interp::Core.Compiler.NativeInterpreter, stmt::Any, pc_vartable::Vector{Core.Compiler.VarState}, frame::Core.Compiler.InferenceState)
   137         0 @Base/compiler/abstractinterpretation.jl                2749 abstract_eval_statement(interp::Core.Compiler.NativeInterpreter, e::Any, vtypes::Vector{Core.Compiler.VarState}, sv::Core.Compiler.InferenceState)
   137         0 @Base/compiler/abstractinterpretation.jl                2451 abstract_eval_statement_expr(interp::Core.Compiler.NativeInterpreter, e::Expr, vtypes::Vector{Core.Compiler.VarState}, sv::Core.Compiler.InferenceState)
   137         0 @Base/compiler/abstractinterpretation.jl                2435 abstract_eval_call(interp::Core.Compiler.NativeInterpreter, e::Expr, vtypes::Vector{Core.Compiler.VarState}, sv::Core.Compiler.InferenceState)
   137         0 @Base/compiler/abstractinterpretation.jl                2420 abstract_call(interp::Core.Compiler.NativeInterpreter, arginfo::Core.Compiler.ArgInfo, sv::Core.Compiler.InferenceState)
   137         0 @Base/compiler/abstractinterpretation.jl                2275 abstract_call(interp::Core.Compiler.NativeInterpreter, arginfo::Core.Compiler.ArgInfo, si::Core.Compiler.StmtInfo, sv::Core.Compiler.InferenceState)
   137         0 @Base/compiler/abstractinterpretation.jl                2282 abstract_call(interp::Core.Compiler.NativeInterpreter, arginfo::Core.Compiler.ArgInfo, si::Core.Compiler.StmtInfo, sv::Core.Compiler.InferenceState, max_methods::Int64)
   137         0 @Base/compiler/abstractinterpretation.jl                2200 abstract_call_known(interp::Core.Compiler.NativeInterpreter, f::Any, arginfo::Core.Compiler.ArgInfo, si::Core.Compiler.StmtInfo, sv::Core.Compiler.InferenceState, max_methods::Int64)
   134         0 @Base/compiler/abstractinterpretation.jl                 102 abstract_call_gf_by_type(interp::Core.Compiler.NativeInterpreter, f::Any, arginfo::Core.Compiler.ArgInfo, si::Core.Compiler.StmtInfo, atype::Any, sv::Core.Compiler.InferenceState, max_methods::Int64)
   134         0 @Base/compiler/abstractinterpretation.jl                 660 abstract_call_method(interp::Core.Compiler.NativeInterpreter, method::Method, sig::Any, sparams::Core.SimpleVector, hardlimit::Bool, si::Core.Compiler.StmtInfo, sv::Core.Compiler.InferenceState)
   134         0 @Base/compiler/typeinfer.jl                              923 typeinf_edge(interp::Core.Compiler.NativeInterpreter, method::Method, atype::Any, sparams::Core.SimpleVector, caller::Core.Compiler.InferenceState)
   109         0 @Base/compiler/typeinfer.jl                              249 _typeinf(interp::Core.Compiler.NativeInterpreter, frame::Core.Compiler.InferenceState)
   106         0 @Base/compiler/typeinfer.jl                              265 finish_nocycle(::Core.Compiler.NativeInterpreter, frame::Core.Compiler.InferenceState)
   103         0 @Base/compiler/optimize.jl                               983 optimize(interp::Core.Compiler.NativeInterpreter, opt::Core.Compiler.OptimizationState{Core.Compiler.NativeInterpreter}, caller::Core.Compiler.InferenceResult)
   103         0 @Base/compiler/optimize.jl                              1009 run_passes_ipo_safe
   103         0 @Base/compiler/optimize.jl                               994 run_passes_ipo_safe(ci::Core.CodeInfo, sv::Core.Compiler.OptimizationState{Core.Compiler.NativeInterpreter}, caller::Core.Compiler.InferenceResult, optimize_until::Nothing)
    73         0 @Base/compiler/ssair/inlining.jl                          81 ssa_inlining_pass!
    68         0 @Base/compiler/ssair/inlining.jl                         700 batch_inline!(ir::Core.Compiler.IRCode, todo::Vector{Pair{Int64, Any}}, propagate_inbounds::Bool, params::Core.Compiler.OptimizationParams)
     1         0 @Base/compiler/ssair/inlining.jl                         435 ir_inline_item!(compact::Core.Compiler.IncrementalCompact, idx::Int64, argexprs::Vector{Any}, item::Core.Compiler.InliningTodo, boundscheck::Symbol, todo_bbs::Vector{Tuple{Int64, Int64}})
